num_streams,rss_mb,fds_open,cpu_percent,ts,N
100,135.376896,212,1.8299999999999996,1758727536.541415,100
100,135.442432,212,3.2950000000000004,1758727538.5483499,100
100,135.442432,212,3.5650000000000004,1758727540.552006,100
100,135.442432,212,3.8550000000000004,1758727542.554904,100
100,135.442432,212,4.440000000000001,1758727544.55722,100
100,135.442432,212,4.325,1758727546.559186,100
100,135.446528,212,3.215,1758727548.560767,100
100,135.45472,212,3.225,1758727550.563201,100
100,135.458816,212,3.25,1758727552.565718,100
100,135.462912,212,3.2849999999999993,1758727554.567339,100
